% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 100.0000 mHz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-04 T 17:32:22 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
1.01818044e+00, -3.3882e+01, 1.7987e+02, 2.7910e-01, -1.2978e+02, -3.4161e+01, -5.0354e+01
1.04138062e+00, -3.4065e+01, -1.7994e+02, 4.0326e-01, -1.3013e+02, -3.4468e+01, -4.9815e+01
1.06510945e+00, -3.4012e+01, -1.7937e+02, 5.3787e-01, -1.3049e+02, -3.4550e+01, -4.8888e+01
1.08937895e+00, -3.4052e+01, 1.7978e+02, 6.9137e-01, -1.3091e+02, -3.4744e+01, -4.9306e+01
1.11420146e+00, -3.3916e+01, -1.7970e+02, 8.1807e-01, -1.3124e+02, -3.4734e+01, -4.8461e+01
1.13958957e+00, -3.3992e+01, -1.7979e+02, 9.5429e-01, -1.3172e+02, -3.4946e+01, -4.8074e+01
1.16555618e+00, -3.3993e+01, 1.7961e+02, 1.0767e+00, -1.3212e+02, -3.5069e+01, -4.8271e+01
1.19211445e+00, -3.3944e+01, 1.7944e+02, 1.2098e+00, -1.3253e+02, -3.5154e+01, -4.8034e+01
1.21927789e+00, -3.3958e+01, 1.7929e+02, 1.3300e+00, -1.3295e+02, -3.5288e+01, -4.7765e+01
1.24706026e+00, -3.3943e+01, -1.7984e+02, 1.4522e+00, -1.3339e+02, -3.5395e+01, -4.6447e+01
1.27547568e+00, -3.3958e+01, 1.7981e+02, 1.5842e+00, -1.3389e+02, -3.5542e+01, -4.6297e+01
1.30453858e+00, -3.3950e+01, 1.7987e+02, 1.7037e+00, -1.3432e+02, -3.5654e+01, -4.5810e+01
1.33426370e+00, -3.3951e+01, -1.7989e+02, 1.8259e+00, -1.3477e+02, -3.5777e+01, -4.5118e+01
1.36466613e+00, -3.3987e+01, -1.7953e+02, 1.9300e+00, -1.3528e+02, -3.5917e+01, -4.4257e+01
1.39576131e+00, -3.3995e+01, 1.7969e+02, 2.0498e+00, -1.3569e+02, -3.6044e+01, -4.4618e+01
1.42756503e+00, -3.4041e+01, 1.7999e+02, 2.1660e+00, -1.3618e+02, -3.6207e+01, -4.3828e+01
1.46009342e+00, -3.3924e+01, -1.7982e+02, 2.2777e+00, -1.3659e+02, -3.6201e+01, -4.3226e+01
1.49336300e+00, -3.3974e+01, 1.7996e+02, 2.3846e+00, -1.3711e+02, -3.6358e+01, -4.2934e+01
1.52739066e+00, -3.3963e+01, -1.7975e+02, 2.4825e+00, -1.3759e+02, -3.6446e+01, -4.2154e+01
