% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 20.00000 MHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 14:19:53 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
1.21901299e+02, -3.3738e+01, 1.8003e+02, -4.1780e+01, -1.1156e+02, 8.0419e+00, -6.8413e+01
1.25978393e+02, -3.3895e+01, 1.7937e+02, -4.1490e+01, -1.1074e+02, 7.5953e+00, -6.9885e+01
1.30191849e+02, -3.4140e+01, 1.8000e+02, -4.1602e+01, -1.1087e+02, 7.4624e+00, -6.9136e+01
1.34546227e+02, -3.4135e+01, 1.7859e+02, -4.1046e+01, -1.0860e+02, 6.9102e+00, -7.2806e+01
1.39046242e+02, -3.3982e+01, 1.7963e+02, -4.0717e+01, -1.0833e+02, 6.7347e+00, -7.2036e+01
1.43696763e+02, -3.4012e+01, 1.8026e+02, -4.1173e+01, -1.1124e+02, 7.1602e+00, -6.8500e+01
1.48502825e+02, -3.4142e+01, 1.8007e+02, -4.0393e+01, -1.1175e+02, 6.2507e+00, -6.8182e+01
1.53469630e+02, -3.3684e+01, 1.8063e+02, -4.0108e+01, -1.1069e+02, 6.4237e+00, -6.8682e+01
1.58602555e+02, -3.3837e+01, 1.8098e+02, -4.0180e+01, -1.1098e+02, 6.3434e+00, -6.8033e+01
1.63907154e+02, -3.3880e+01, 1.8073e+02, -3.9413e+01, -1.0823e+02, 5.5326e+00, -7.1041e+01
1.69389170e+02, -3.3888e+01, 1.8089e+02, -3.9160e+01, -1.1117e+02, 5.2720e+00, -6.7936e+01
1.75054537e+02, -3.3803e+01, 1.8033e+02, -3.9178e+01, -1.1134e+02, 5.3749e+00, -6.8330e+01
1.80909386e+02, -3.3787e+01, 1.7986e+02, -3.9023e+01, -1.1071e+02, 5.2365e+00, -6.9435e+01
1.86960057e+02, -3.3974e+01, 1.8068e+02, -3.8536e+01, -1.1050e+02, 4.5622e+00, -6.8820e+01
1.93213097e+02, -3.3996e+01, 1.7965e+02, -3.8345e+01, -1.1189e+02, 4.3487e+00, -6.8454e+01
1.99675276e+02, -3.3990e+01, 1.7996e+02, -3.8185e+01, -1.1016e+02, 4.1948e+00, -6.9877e+01
2.06353587e+02, -3.3965e+01, 1.8001e+02, -3.7751e+01, -1.0871e+02, 3.7866e+00, -7.1273e+01
2.13255261e+02, -3.3920e+01, 1.7969e+02, -3.8036e+01, -1.0949e+02, 4.1157e+00, -7.0811e+01
2.20387767e+02, -3.3868e+01, 1.7931e+02, -3.7726e+01, -1.1133e+02, 3.8576e+00, -6.9355e+01
2.27758826e+02, -3.3795e+01, 1.7967e+02, -3.7175e+01, -1.0939e+02, 3.3801e+00, -7.0940e+01
2.35376416e+02, -3.3895e+01, 1.7979e+02, -3.7082e+01, -1.1032e+02, 3.1874e+00, -6.9892e+01
2.43248784e+02, -3.3940e+01, 1.8040e+02, -3.6946e+01, -1.1072e+02, 3.0061e+00, -6.8879e+01
2.51384449e+02, -3.3730e+01, 1.8018e+02, -3.6651e+01, -1.1076e+02, 2.9206e+00, -6.9051e+01
2.59792218e+02, -3.3877e+01, 1.8052e+02, -3.6476e+01, -1.1140e+02, 2.5989e+00, -6.8084e+01
2.68481193e+02, -3.3772e+01, 1.7966e+02, -3.6193e+01, -1.1196e+02, 2.4205e+00, -6.8375e+01
2.77460778e+02, -3.3685e+01, 1.7954e+02, -3.6153e+01, -1.1093e+02, 2.4679e+00, -6.9537e+01
2.86740693e+02, -3.3947e+01, 1.7843e+02, -3.6127e+01, -1.1087e+02, 2.1805e+00, -7.0706e+01
2.96330983e+02, -3.3860e+01, 1.7951e+02, -3.5669e+01, -1.1156e+02, 1.8089e+00, -6.8934e+01
3.06242028e+02, -3.3870e+01, 1.7899e+02, -3.5283e+01, -1.1151e+02, 1.4126e+00, -6.9500e+01
3.16484557e+02, -3.3889e+01, 1.7970e+02, -3.5104e+01, -1.1184e+02, 1.2153e+00, -6.8463e+01
3.27069655e+02, -3.3792e+01, 1.8037e+02, -3.4980e+01, -1.1006e+02, 1.1877e+00, -6.9566e+01
3.38008782e+02, -3.4112e+01, 1.7925e+02, -3.4496e+01, -1.1168e+02, 3.8436e-01, -6.9074e+01
3.49313777e+02, -3.3807e+01, 1.7917e+02, -3.4341e+01, -1.1140e+02, 5.3468e-01, -6.9427e+01
3.60996878e+02, -3.3920e+01, 1.8059e+02, -3.4329e+01, -1.1191e+02, 4.0920e-01, -6.7502e+01
3.73070729e+02, -3.3981e+01, 1.7867e+02, -3.3657e+01, -1.1208e+02, -3.2389e-01, -6.9246e+01
3.85548401e+02, -3.3815e+01, 1.7982e+02, -3.3807e+01, -1.1228e+02, -7.9850e-03, -6.7898e+01
3.98443400e+02, -3.4102e+01, 1.7879e+02, -3.3194e+01, -1.1118e+02, -9.0874e-01, -7.0027e+01
4.11769683e+02, -3.3914e+01, 1.7912e+02, -3.3317e+01, -1.1185e+02, -5.9744e-01, -6.9030e+01
4.25541675e+02, -3.3730e+01, 1.7944e+02, -3.3221e+01, -1.1162e+02, -5.0856e-01, -6.8940e+01
4.39774283e+02, -3.3805e+01, 1.7825e+02, -3.2805e+01, -1.1164e+02, -1.0001e+00, -7.0106e+01
4.54482913e+02, -3.3918e+01, 1.7939e+02, -3.2471e+01, -1.1314e+02, -1.4478e+00, -6.7464e+01
4.69683486e+02, -3.4050e+01, 1.7934e+02, -3.2420e+01, -1.1347e+02, -1.6300e+00, -6.7188e+01
4.85392455e+02, -3.3805e+01, 1.7902e+02, -3.2251e+01, -1.1395e+02, -1.5536e+00, -6.7036e+01
5.01626825e+02, -3.3823e+01, 1.7865e+02, -3.2143e+01, -1.1375e+02, -1.6800e+00, -6.7601e+01
5.18404166e+02, -3.3924e+01, 1.7938e+02, -3.1581e+01, -1.1430e+02, -2.3428e+00, -6.6313e+01
5.35742640e+02, -3.3920e+01, 1.7916e+02, -3.1437e+01, -1.1332e+02, -2.4836e+00, -6.7526e+01
5.53661015e+02, -3.3774e+01, 1.8000e+02, -3.1246e+01, -1.1221e+02, -2.5287e+00, -6.7789e+01
5.72178685e+02, -3.3740e+01, 1.7944e+02, -3.1067e+01, -1.1294e+02, -2.6737e+00, -6.7616e+01
5.91315694e+02, -3.3857e+01, 1.7930e+02, -3.0765e+01, -1.1356e+02, -3.0921e+00, -6.7144e+01
6.11092758e+02, -3.3966e+01, 1.7891e+02, -3.0422e+01, -1.1245e+02, -3.5446e+00, -6.8642e+01
6.31531282e+02, -3.3846e+01, 1.7922e+02, -3.0361e+01, -1.1337e+02, -3.4844e+00, -6.7408e+01
6.52653390e+02, -3.3939e+01, 1.7901e+02, -3.0148e+01, -1.1376e+02, -3.7906e+00, -6.7235e+01
