% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset -100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 10.00000 mHz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 17:29:57 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
3.95221553e-01, -3.4252e+01, 1.8014e+02, -7.6867e+01, 2.3018e+02, 4.2615e+01, -4.1005e+02
4.06052678e-01, -3.4237e+01, 1.8063e+02, -7.2034e+01, 1.8396e+02, 3.7797e+01, -3.6332e+02
4.17180632e-01, -3.4210e+01, 1.8002e+02, -7.3471e+01, 2.2829e+02, 3.9261e+01, -4.0827e+02
4.28613550e-01, -3.4214e+01, 1.8021e+02, -6.9309e+01, 2.0439e+02, 3.5095e+01, -3.8418e+02
4.40359789e-01, -3.4226e+01, 1.7968e+02, -7.4453e+01, 2.1061e+02, 4.0226e+01, -3.9093e+02
4.52427936e-01, -3.4336e+01, 1.8030e+02, -6.9249e+01, 2.6666e+02, 3.4912e+01, -4.4636e+02
4.64826813e-01, -3.4243e+01, 1.7960e+02, -6.7574e+01, 2.1945e+02, 3.3331e+01, -3.9985e+02
4.77565484e-01, -3.4277e+01, 1.7990e+02, -6.4745e+01, 2.0138e+02, 3.0469e+01, -3.8148e+02
4.90653260e-01, -3.4319e+01, 1.7990e+02, -6.7868e+01, 2.6284e+02, 3.3549e+01, -4.4294e+02
5.04099710e-01, -3.4191e+01, 1.7999e+02, -6.9453e+01, 2.7585e+02, 3.5262e+01, -4.5586e+02
5.17914662e-01, -3.4266e+01, 1.8019e+02, -7.1109e+01, 2.1404e+02, 3.6843e+01, -3.9385e+02
5.32108216e-01, -3.4236e+01, 1.8031e+02, -7.8420e+01, 2.3768e+02, 4.4184e+01, -4.1737e+02
5.46690747e-01, -3.4311e+01, 1.7968e+02, -6.9061e+01, 2.1000e+02, 3.4750e+01, -3.9032e+02
5.61672915e-01, -3.4206e+01, 1.7982e+02, -6.6322e+01, 2.2896e+02, 3.2116e+01, -4.0914e+02
5.77065672e-01, -3.4242e+01, 1.8009e+02, -7.4789e+01, 2.2311e+02, 4.0547e+01, -4.0303e+02
5.92880271e-01, -3.4293e+01, 1.8048e+02, -7.6800e+01, 2.6087e+02, 4.2508e+01, -4.4039e+02
6.09128272e-01, -3.4236e+01, 1.7948e+02, -6.7549e+01, 2.1637e+02, 3.3313e+01, -3.9689e+02
6.25821553e-01, -3.4148e+01, 1.7982e+02, -6.5366e+01, 2.0687e+02, 3.1219e+01, -3.8705e+02
6.42972316e-01, -3.4310e+01, 1.8019e+02, -6.9622e+01, 2.5303e+02, 3.5312e+01, -4.3285e+02
6.60593100e-01, -3.4303e+01, 1.7942e+02, -6.4768e+01, 2.4817e+02, 3.0465e+01, -4.2875e+02
6.78696784e-01, -3.4204e+01, 1.8009e+02, -6.4590e+01, 2.3697e+02, 3.0386e+01, -4.1688e+02
6.97296604e-01, -3.4221e+01, 1.7978e+02, -7.4769e+01, 2.4347e+02, 4.0548e+01, -4.2369e+02
7.16406155e-01, -3.4257e+01, 1.8000e+02, -6.8379e+01, 1.9558e+02, 3.4122e+01, -3.7558e+02
