% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset -100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 20.00000 MHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 14:25:23 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
1.34502506e+01, -3.4238e+01, -1.7961e+02, -5.1629e+01, -1.0510e+02, 1.7392e+01, -7.4513e+01
1.39001058e+01, -3.4231e+01, -1.7893e+02, -5.2422e+01, -1.0338e+02, 1.8191e+01, -7.5557e+01
1.43650068e+01, -3.4211e+01, -1.8009e+02, -5.1096e+01, -1.0290e+02, 1.6885e+01, -7.7183e+01
1.48454569e+01, -3.4115e+01, -1.8075e+02, -5.1882e+01, -1.0795e+02, 1.7767e+01, -7.2802e+01
1.53419760e+01, -3.4273e+01, -1.7974e+02, -5.1889e+01, -1.0690e+02, 1.7616e+01, -7.2841e+01
1.58551016e+01, -3.4228e+01, -1.8025e+02, -5.0913e+01, -1.0357e+02, 1.6685e+01, -7.6680e+01
1.63853891e+01, -3.4237e+01, -1.7994e+02, -5.0945e+01, -1.0747e+02, 1.6708e+01, -7.2467e+01
1.69334126e+01, -3.4265e+01, -1.7982e+02, -5.0376e+01, -1.0942e+02, 1.6111e+01, -7.0399e+01
1.74997652e+01, -3.4324e+01, -1.7971e+02, -5.0624e+01, -1.0470e+02, 1.6299e+01, -7.5008e+01
1.80850599e+01, -3.4268e+01, -1.8011e+02, -5.0363e+01, -1.0696e+02, 1.6095e+01, -7.3150e+01
1.86899303e+01, -3.4176e+01, -1.7989e+02, -4.9053e+01, -1.0646e+02, 1.4878e+01, -7.3427e+01
1.93150312e+01, -3.4340e+01, -1.7987e+02, -4.9319e+01, -1.0495e+02, 1.4979e+01, -7.4912e+01
1.99610390e+01, -3.4281e+01, -1.7984e+02, -4.8991e+01, -1.0304e+02, 1.4710e+01, -7.6799e+01
2.06286532e+01, -3.4261e+01, -1.8076e+02, -4.8839e+01, -1.0307e+02, 1.4578e+01, -7.7694e+01
2.13185963e+01, -3.4263e+01, -1.7939e+02, -4.8387e+01, -1.0876e+02, 1.4124e+01, -7.0635e+01
2.20316151e+01, -3.4297e+01, -1.8036e+02, -4.8931e+01, -1.0591e+02, 1.4633e+01, -7.4448e+01
2.27684815e+01, -3.4246e+01, -1.7988e+02, -4.7608e+01, -1.0353e+02, 1.3361e+01, -7.6347e+01
2.35299930e+01, -3.4177e+01, -1.8029e+02, -4.8205e+01, -1.0160e+02, 1.4028e+01, -7.8691e+01
2.43169739e+01, -3.4362e+01, -1.8020e+02, -4.7318e+01, -1.0279e+02, 1.2956e+01, -7.7411e+01
2.51302760e+01, -3.4266e+01, -1.8025e+02, -4.6959e+01, -1.0378e+02, 1.2693e+01, -7.6469e+01
2.59707798e+01, -3.4353e+01, -1.8024e+02, -4.7649e+01, -1.0711e+02, 1.3296e+01, -7.3126e+01
2.68393949e+01, -3.4266e+01, -1.7995e+02, -4.7161e+01, -1.0259e+02, 1.2896e+01, -7.7357e+01
2.77370616e+01, -3.4273e+01, -1.7949e+02, -4.6783e+01, -1.0388e+02, 1.2510e+01, -7.5610e+01
2.86647515e+01, -3.4305e+01, -1.7989e+02, -4.6693e+01, -1.0547e+02, 1.2388e+01, -7.4412e+01
2.96234689e+01, -3.4252e+01, -1.7980e+02, -4.5771e+01, -1.0710e+02, 1.1519e+01, -7.2701e+01
3.06142513e+01, -3.4319e+01, -1.8016e+02, -4.5793e+01, -1.0684e+02, 1.1475e+01, -7.3315e+01
3.16381713e+01, -3.4227e+01, -1.8039e+02, -4.5970e+01, -1.0445e+02, 1.1743e+01, -7.5936e+01
3.26963373e+01, -3.4253e+01, -1.8084e+02, -4.5599e+01, -1.0554e+02, 1.1346e+01, -7.5304e+01
3.37898944e+01, -3.4241e+01, -1.8001e+02, -4.5348e+01, -1.0472e+02, 1.1108e+01, -7.5294e+01
3.49200266e+01, -3.4088e+01, -1.8044e+02, -4.4572e+01, -1.0601e+02, 1.0484e+01, -7.4427e+01
3.60879570e+01, -3.4124e+01, -1.7991e+02, -4.4967e+01, -1.0586e+02, 1.0843e+01, -7.4049e+01
