% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 10.00000 mHz to 500.0000 Hz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-05 T 14:31:23 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 + Ch 2) Magnitude (dBVpp), Math (Ch 1 + Ch 2) Phase (deg)
2.29396002e-01, -3.4036e+01, -1.7959e+02, -9.7659e+00, -1.3184e+02, -9.4077e+00, -1.3433e+02
2.35363169e-01, -3.4005e+01, -1.7984e+02, -9.6457e+00, -1.3152e+02, -9.2947e+00, -1.3401e+02
2.41485557e-01, -3.4041e+01, -1.8013e+02, -9.4884e+00, -1.3099e+02, -9.1502e+00, -1.3346e+02
2.47767204e-01, -3.4008e+01, -1.7999e+02, -9.3454e+00, -1.3047e+02, -9.0139e+00, -1.3292e+02
2.54212253e-01, -3.3935e+01, -1.8014e+02, -9.1881e+00, -1.2994e+02, -8.8640e+00, -1.3240e+02
2.60824953e-01, -3.4048e+01, -1.7962e+02, -9.0259e+00, -1.2960e+02, -8.7109e+00, -1.3198e+02
2.67609667e-01, -3.4020e+01, -1.7992e+02, -8.8705e+00, -1.2920e+02, -8.5644e+00, -1.3157e+02
2.74570868e-01, -3.3938e+01, -1.7990e+02, -8.7074e+00, -1.2891e+02, -8.4057e+00, -1.3126e+02
2.81713147e-01, -3.4029e+01, -1.8036e+02, -8.5332e+00, -1.2853e+02, -8.2455e+00, -1.3085e+02
2.89041215e-01, -3.3948e+01, -1.8014e+02, -8.3774e+00, -1.2806e+02, -8.0938e+00, -1.3037e+02
2.96559904e-01, -3.3991e+01, -1.8000e+02, -8.2122e+00, -1.2792e+02, -7.9353e+00, -1.3017e+02
3.04274173e-01, -3.3941e+01, -1.8000e+02, -8.0531e+00, -1.2755e+02, -7.7818e+00, -1.2978e+02
3.12189110e-01, -3.3935e+01, -1.7913e+02, -7.8735e+00, -1.2719e+02, -7.6048e+00, -1.2936e+02
3.20309935e-01, -3.3944e+01, -1.8008e+02, -7.6968e+00, -1.2683e+02, -7.4410e+00, -1.2900e+02
3.28642002e-01, -3.3978e+01, -1.7978e+02, -7.5271e+00, -1.2654e+02, -7.2772e+00, -1.2867e+02
